"","STABBR","AWLEVEL","CIPCODE","totalawards","statetotals","comp_high_any","stem_high_any"
"516","AL",1,48.0501,0,3397,NA,1
"517","AL",1,48.0503,2,3397,0,0
"518","AL",1,48.0507,55,3397,0,1
"519","AL",1,48.0508,181,3397,0,0
"520","AL",1,48.0599,9,3397,NA,1
"521","AL",1,48.0703,4,3397,0,0
"522","AL",1,49.0202,0,3397,0,0
"523","AL",1,49.0205,311,3397,0,0
"524","AL",1,50.0401,0,3397,0,0
"525","AL",1,50.0402,5,3397,0,0
"526","AL",1,50.0799,0,3397,0,0
"527","AL",1,50.0902,0,3397,0,0
"528","AL",1,51.0601,22,3397,0,0
"529","AL",1,51.0707,17,3397,0,0
"530","AL",1,51.0708,39,3397,0,0
"531","AL",1,51.071,18,3397,0,0
"532","AL",1,51.0711,30,3397,NA,0
"533","AL",1,51.0713,88,3397,0,0
"534","AL",1,51.0801,201,3397,0,0
"535","AL",1,51.0805,100,3397,0,0
"536","AL",1,51.0899,44,3397,NA,0
"537","AL",1,51.0903,1,3397,0,1
"538","AL",1,51.0904,454,3397,0,1
"539","AL",1,51.0907,0,3397,NA,0
"540","AL",1,51.0909,72,3397,0,0
"541","AL",1,51.091,9,3397,0,1
"542","AL",1,51.0911,2,3397,0,1
"543","AL",1,51.0999,12,3397,NA,0
"544","AL",1,51.1501,4,3397,0,0
"545","AL",1,51.2602,0,3397,0,0
"546","AL",1,51.3501,92,3397,0,0
"547","AL",1,51.3902,96,3397,0,0
"548","AL",1,51.9999,1,3397,NA,0
"549","AL",1,52.0101,39,3397,0,0
"550","AL",1,52.0201,2,3397,0,0
"551","AL",1,52.0206,0,3397,0,0
"552","AL",1,52.0302,20,3397,0,0
"553","AL",1,52.0305,1,3397,0,1
"554","AL",1,52.0401,43,3397,0,0
"555","AL",1,52.0408,0,3397,NA,0
"556","AL",1,52.0803,1,3397,0,0
"557","AL",1,52.0901,23,3397,0,0
"558","AL",1,52.1001,1,3397,0,0
"559","AL",1,52.1401,0,3397,0,0
"560","AL",1,52.1501,0,3397,0,0
"561","AL",1,52.1902,0,3397,0,0
"562","AL",1,52.1908,0,3397,0,0
"563","AL",1,99,3397,3397,NA,NA
"564","AL",17,1.0303,6,583,0,1
"565","AL",17,1.0901,3,583,0,1
"566","AL",17,1.1001,7,583,0,1
"567","AL",17,1.1199,8,583,0,1
"568","AL",17,1.9999,4,583,NA,1
"569","AL",17,3.0599,5,583,0,1
"570","AL",17,9.0102,16,583,NA,0
"571","AL",17,11.0101,7,583,1,1
"572","AL",17,11.0804,0,583,1,1
"573","AL",17,13.0401,28,583,0,0
"574","AL",17,13.0404,10,583,NA,0
"575","AL",17,13.0406,3,583,0,0
"576","AL",17,13.0408,3,583,0,0
"577","AL",17,13.0409,0,583,0,0
"578","AL",17,13.0603,2,583,NA,0
"579","AL",17,13.1001,0,583,NA,0
"580","AL",17,13.1099,6,583,0,0
"581","AL",17,13.1101,6,583,0,0
"582","AL",17,13.1202,4,583,0,0
"583","AL",17,13.1205,4,583,0,0
"584","AL",17,13.1206,5,583,0,0
"585","AL",17,13.121,4,583,0,0
"586","AL",17,13.1314,5,583,0,0
"587","AL",17,13.1315,2,583,0,0
"588","AL",17,13.1319,2,583,0,0
"589","AL",17,13.9999,10,583,NA,0
"590","AL",17,14.0201,0,583,1,1
"591","AL",17,14.0501,1,583,1,1
"592","AL",17,14.0701,10,583,1,1
"593","AL",17,14.0801,9,583,1,1
"594","AL",17,14.0901,14,583,1,1
"595","AL",17,14.1001,15,583,1,1
"596","AL",17,14.1101,2,583,1,1
"597","AL",17,14.1401,0,583,0,1
"598","AL",17,14.1801,11,583,1,1
"599","AL",17,14.1901,7,583,1,1
"600","AL",17,14.2801,7,583,1,1
"601","AL",17,14.3501,13,583,0,1
"602","AL",17,14.9999,1,583,1,1
"603","AL",17,16.09,4,583,0,0
"604","AL",17,19.0799,3,583,NA,0
"605","AL",17,23.0101,14,583,0,0
"606","AL",17,26.0101,19,583,0,1
"607","AL",17,26.0102,2,583,0,1
"608","AL",17,26.0205,6,583,0,1
"609","AL",17,26.0401,16,583,0,1
"610","AL",17,26.0502,20,583,0,1
"611","AL",17,26.0806,3,583,0,1
"612","AL",17,26.0902,8,583,0,1
"613","AL",17,26.0909,6,583,0,1
"614","AL",17,26.091,11,583,0,1
"615","AL",17,26.1007,4,583,0,1
"616","AL",17,26.1102,3,583,0,1
"617","AL",17,26.1201,2,583,0,1
"618","AL",17,26.1309,1,583,0,1
"619","AL",17,26.1503,3,583,NA,1
"620","AL",17,26.9999,4,583,0,1
"621","AL",17,27.0101,13,583,0,1
"622","AL",17,27.0301,5,583,1,1
"623","AL",17,27.0502,1,583,1,1
"624","AL",17,30,0,583,NA,0
"625","AL",17,30.0101,4,583,0,0
"626","AL",17,30.1901,4,583,0,1
"627","AL",17,30.9999,2,583,NA,0
"628","AL",17,31.0505,3,583,0,1
"629","AL",17,31.0599,10,583,NA,0
"630","AL",17,39.0201,0,583,0,0
"631","AL",17,40.0401,5,583,0,1
