"","STABBR","degType","year","statetotal","stem_high_any","totalawards","share"
"1000","NH","Master's and Higher",2010,4225,1,986,0.233372781065089
"1001","NH","Master's and Higher",2011,4238,1,885,0.208824917413874
"1002","NH","Master's and Higher",2011,4238,0,3353,0.791175082586126
"1003","NH","Master's and Higher",2012,4415,0,3455,0.782559456398641
"1004","NH","Master's and Higher",2012,4415,1,960,0.217440543601359
"1005","NH","Master's and Higher",2013,4477,1,1060,0.236765691311146
"1006","NH","Master's and Higher",2013,4477,0,3417,0.763234308688854
"1007","NH","Master's and Higher",2014,5213,1,1247,0.239209668137349
"1008","NH","Master's and Higher",2014,5213,0,3966,0.760790331862651
"1009","NJ","Associate's and below",2010,38771,0,29678,0.765469036135256
"1010","NJ","Associate's and below",2010,38771,1,9093,0.234530963864744
"1011","NJ","Associate's and below",2011,42075,0,32670,0.776470588235294
"1012","NJ","Associate's and below",2011,42075,1,9405,0.223529411764706
"1013","NJ","Associate's and below",2012,42038,0,32427,0.771373519196917
"1014","NJ","Associate's and below",2012,42038,1,9611,0.228626480803083
"1015","NJ","Associate's and below",2013,40740,0,32285,0.79246440844379
"1016","NJ","Associate's and below",2013,40740,1,8455,0.20753559155621
"1017","NJ","Associate's and below",2014,40834,1,7923,0.194029485232894
"1018","NJ","Associate's and below",2014,40834,0,32911,0.805970514767106
"1019","NJ","Bachelor's",2010,37745,0,27761,0.73548814412505
"1020","NJ","Bachelor's",2010,37745,1,9984,0.26451185587495
"1021","NJ","Bachelor's",2011,39074,1,10556,0.27015406664278
"1022","NJ","Bachelor's",2011,39074,0,28518,0.72984593335722
"1023","NJ","Bachelor's",2012,41362,1,11474,0.277404380832648
"1024","NJ","Bachelor's",2012,41362,0,29888,0.722595619167352
"1025","NJ","Bachelor's",2013,42182,0,30057,0.712555118296904
"1026","NJ","Bachelor's",2013,42182,1,12125,0.287444881703096
"1027","NJ","Bachelor's",2014,42621,1,12900,0.302667699021609
"1028","NJ","Bachelor's",2014,42621,0,29721,0.697332300978391
"1029","NJ","Master's and Higher",2010,17656,0,12341,0.698969188944268
