"","CBSA","degType","year","Cbsatotal","comp_high_any","totalawards","share"
"252",10580,"Bachelor's",2011,13397,0,9496,0.708815406434276
"253",10580,"Bachelor's",2011,13397,1,1238,0.0924087482272151
"254",10580,"Bachelor's",2012,12929,0,9119,0.705313636012066
"255",10580,"Bachelor's",2012,12929,1,1204,0.0931239848402815
"256",10580,"Bachelor's",2013,13403,0,9698,0.72356935014549
"257",10580,"Bachelor's",2013,13403,1,1246,0.092964261732448
"258",10580,"Bachelor's",2014,13165,1,1141,0.0866691986327383
"259",10580,"Bachelor's",2014,13165,0,9677,0.735055070262059
"260",10580,"Master's and Higher",2010,4889,1,600,0.122724483534465
"261",10580,"Master's and Higher",2010,4889,0,3715,0.75986909388423
"262",10580,"Master's and Higher",2011,4768,0,3712,0.778523489932886
"263",10580,"Master's and Higher",2011,4768,1,612,0.128355704697987
"264",10580,"Master's and Higher",2012,4790,0,3742,0.781210855949896
"265",10580,"Master's and Higher",2012,4790,1,558,0.116492693110647
"266",10580,"Master's and Higher",2013,4737,0,3713,0.783829427907959
"267",10580,"Master's and Higher",2013,4737,1,603,0.127295756808106
"268",10580,"Master's and Higher",2014,4895,1,596,0.121756894790603
"269",10580,"Master's and Higher",2014,4895,0,3879,0.79244126659857
"270",10620,"Associate's and below",2010,622,1,91,0.146302250803859
"271",10620,"Associate's and below",2010,622,0,464,0.745980707395498
"272",10620,"Associate's and below",2011,679,1,120,0.176730486008837
"273",10620,"Associate's and below",2011,679,0,437,0.64359351988218
"274",10620,"Associate's and below",2012,674,1,112,0.166172106824926
"275",10620,"Associate's and below",2012,674,0,410,0.608308605341246
"276",10620,"Associate's and below",2013,750,0,448,0.597333333333333
"277",10620,"Associate's and below",2013,750,1,121,0.161333333333333
"278",10620,"Associate's and below",2014,653,0,417,0.638591117917305
"279",10620,"Associate's and below",2014,653,1,98,0.150076569678407
"280",10620,"Bachelor's",2010,239,1,5,0.0209205020920502
"281",10620,"Bachelor's",2010,239,0,203,0.849372384937239
"282",10620,"Bachelor's",2011,281,1,4,0.0142348754448399
"283",10620,"Bachelor's",2011,281,0,237,0.843416370106762
"284",10620,"Bachelor's",2012,195,1,15,0.0769230769230769
"285",10620,"Bachelor's",2012,195,0,160,0.82051282051282
"286",10620,"Bachelor's",2013,208,0,186,0.894230769230769
"287",10620,"Bachelor's",2013,208,1,11,0.0528846153846154
"288",10620,"Bachelor's",2014,253,0,222,0.877470355731225
"289",10620,"Bachelor's",2014,253,1,13,0.0513833992094862
"290",10620,"Master's and Higher",2010,420,0,420,1
"291",10620,"Master's and Higher",2011,355,0,355,1
"292",10620,"Master's and Higher",2012,344,0,338,0.982558139534884
"293",10620,"Master's and Higher",2013,350,0,341,0.974285714285714
"294",10620,"Master's and Higher",2014,390,0,379,0.971794871794872
"295",10700,"Associate's and below",2010,348,1,37,0.10632183908046
"296",10700,"Associate's and below",2010,348,0,114,0.327586206896552
"297",10700,"Associate's and below",2011,523,1,82,0.15678776290631
"298",10700,"Associate's and below",2011,523,0,215,0.411089866156788
"299",10700,"Associate's and below",2012,539,0,158,0.293135435992579
"300",10700,"Associate's and below",2012,539,1,58,0.10760667903525
"301",10700,"Associate's and below",2013,536,0,193,0.360074626865672
"302",10700,"Associate's and below",2013,536,1,28,0.0522388059701493
"303",10700,"Associate's and below",2014,559,0,179,0.320214669051878
"304",10700,"Associate's and below",2014,559,1,40,0.0715563506261181
"305",10740,"Associate's and below",2010,5886,0,4345,0.738192320761128
"306",10740,"Associate's and below",2010,5886,1,219,0.0372069317023445
"307",10740,"Associate's and below",2011,7909,0,6109,0.772411177139967
"308",10740,"Associate's and below",2011,7909,1,260,0.0328739410797825
"309",10740,"Associate's and below",2012,8407,1,288,0.0342571666468419
"310",10740,"Associate's and below",2012,8407,0,6021,0.716188890210539
"311",10740,"Associate's and below",2013,11947,1,373,0.0312212270862978
"312",10740,"Associate's and below",2013,11947,0,8355,0.699338746128735
"313",10740,"Associate's and below",2014,8895,0,6338,0.712535132096684
"314",10740,"Associate's and below",2014,8895,1,353,0.0396852164137156
"315",10740,"Bachelor's",2010,4160,0,3509,0.843509615384615
"316",10740,"Bachelor's",2010,4160,1,318,0.0764423076923077
"317",10740,"Bachelor's",2011,4558,1,372,0.0816147433084686
"318",10740,"Bachelor's",2011,4558,0,3837,0.841816586222027
"319",10740,"Bachelor's",2012,4546,0,3840,0.84469863616366
"320",10740,"Bachelor's",2012,4546,1,337,0.0741311042674879
"321",10740,"Bachelor's",2013,4567,1,319,0.0698489161375082
"322",10740,"Bachelor's",2013,4567,0,3860,0.845193781475805
"323",10740,"Bachelor's",2014,4916,0,4164,0.847030105777055
"324",10740,"Bachelor's",2014,4916,1,356,0.0724165988608625
"325",10740,"Master's and Higher",2010,1872,0,1419,0.75801282051282
"326",10740,"Master's and Higher",2010,1872,1,260,0.138888888888889
"327",10740,"Master's and Higher",2011,2018,1,252,0.124876114965312
